id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
216,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,0.0,ORANG,2018
217,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,2172706.0,ORANG,2018
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,0.0,ORANG,2018
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,8559255.0,ORANG,2018
220,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,0.0,ORANG,2018
221,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,1900000.0,ORANG,2018
222,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,0.0,ORANG,2018
223,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,2719174.0,ORANG,2018
224,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,0.0,ORANG,2018
225,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,1418679.0,ORANG,2018
226,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,0.0,ORANG,2018
227,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,1347895.0,ORANG,2018
228,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,0.0,ORANG,2018
229,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,1974591.0,ORANG,2018
230,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,0.0,ORANG,2018
231,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,1187576.0,ORANG,2018
232,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,0.0,ORANG,2018
233,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,230591.0,ORANG,2018
234,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,0.0,ORANG,2018
235,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,428200.0,ORANG,2018
236,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,0.0,ORANG,2018
237,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,789742.0,ORANG,2018
238,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,0.0,ORANG,2018
239,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,3801603.0,ORANG,2018
240,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,0.0,ORANG,2018
241,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,5755896.0,ORANG,2018
242,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,0.0,ORANG,2018
243,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,6390906.0,ORANG,2018
244,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,0.0,ORANG,2018
245,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,45274.0,ORANG,2018
246,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,0.0,ORANG,2018
247,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,13701916.0,ORANG,2018
248,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,0.0,ORANG,2018
249,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,3571.0,ORANG,2018
250,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0.0,ORANG,2018
251,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,6340.0,ORANG,2018
252,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,0.0,ORANG,2018
253,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,116039.0,ORANG,2018
254,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,0.0,ORANG,2018
255,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,2431290.0,ORANG,2018
256,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,0.0,ORANG,2018
257,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,1256644.0,ORANG,2018
258,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,0.0,ORANG,2018
259,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,,ORANG,2018
260,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0.0,ORANG,2018
261,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,32112.0,ORANG,2018
262,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,0.0,ORANG,2018
263,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,12224.0,ORANG,2018
264,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,0.0,ORANG,2018
265,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,82329.0,ORANG,2018
266,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,0.0,ORANG,2018
267,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,35225.0,ORANG,2018
268,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,0.0,ORANG,2018
269,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,2670203.0,ORANG,2019
270,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,26264.0,ORANG,2019
